detailUrl,zpid,status,homeType,streetAddress,unit,zipcode,city,state,latitude,longitude,price,bathrooms,bedrooms,livingArea,lotAreaValue,lotAreaUnit,listingdate
https://www.zillow.com/homedetails/225-Highland-Rd-E-Kitchener-ON-N2M-3W3/401892368_zpid/,401892368,House for sale,SINGLE_FAMILY,225 Highland Rd E,,N2M3W3,Kitchener,ON,43.436462,-80.491196,599900,3,3,1511,4708.4629,sqft,2024-02-20
https://www.zillow.com/homedetails/300-Fallowfield-Dr-11-Kitchener-ON-N2C-0A9/401897422_zpid/,401897422,Townhouse for sale,TOWNHOUSE,300 Fallowfield Dr #11,# 11,N2C0A9,Kitchener,ON,43.412483,-80.45946,599900,4,3,1320,,,2024-07-15
https://www.zillow.com/homedetails/61-West-Ave-Kitchener-ON-N2M-1X4/401896740_zpid/,401896740,House for sale,SINGLE_FAMILY,61 West Ave,,N2M1X4,Kitchener,ON,43.44305,-80.50436,510000,2,2,1125,4300,sqft,2024-04-14
https://www.zillow.com/homedetails/108-Garment-St-1405-Kitchener-ON-N2G-0E2/401892533_zpid/,401892533,Condo for sale,CONDO,108 Garment St #1405,# 1405,N2G0E2,Kitchener,ON,43.450134,-80.50195,575000,2,2,795,,,2024-05-12
https://www.zillow.com/homedetails/217-Sedgewood-St-Kitchener-ON-N2P-0H9/343517261_zpid/,343517261,House for sale,SINGLE_FAMILY,217 Sedgewood St,,N2P0H9,Kitchener,ON,43.371906,-80.442154,899000,4,4,,,,2024-05-23
https://www.zillow.com/homedetails/125-Wimbleton-Cres-Kitchener-ON-N2B-3K4/401894162_zpid/,401894162,House for sale,SINGLE_FAMILY,125 Wimbleton Cres,,N2B3K4,Kitchener,ON,43.463066,-80.43861,749900,2,3,,,,2024-04-25
https://www.zillow.com/homedetails/111-Traynor-Ave-30-Kitchener-ON-N2C-2N2/401824813_zpid/,401824813,Townhouse for sale,TOWNHOUSE,111 Traynor Ave #30,# 30,N2C2N2,Kitchener,ON,43.424824,-80.44619,500000,2,3,1418,0,sqft,2024-06-09
https://www.zillow.com/homedetails/106-Pepperwood-Cres-Kitchener-ON-N2A-2R3/401767417_zpid/,401767417,House for sale,SINGLE_FAMILY,106 Pepperwood Cres,,N2A2R3,Kitchener,ON,43.428856,-80.425514,529999,0,4,1079,4400,sqft,2024-05-21
https://www.zillow.com/homedetails/3012-Old-Mill-Rd-Kitchener-ON-N2P-1E2/401904226_zpid/,401904226,House for sale,SINGLE_FAMILY,3012 Old Mill Rd,,N2P1E2,Kitchener,ON,43.39314,-80.40672,2400000,5,5,3865,1.01,acres,2024-03-08
https://www.zillow.com/homedetails/572-Strasburg-Rd-Kitchener-ON-N2E-1T8/2054484226_zpid/,2054484226,House for sale,SINGLE_FAMILY,572 Strasburg Rd,,N2E1T8,Kitchener,ON,43.417774,-80.48279,499900,3,4,1095,6852.546,sqft,2024-04-08
